requirement_id,class_id,subject_id,teacher_id,sessions_per_week,preferred_room_id,allowed_room_ids
R_C1_M,C1,S1,T1,3,R1,
R_C1_P,C1,S5,T2,2,R4,
R_C1_C,C1,S6,T4,2,R5,
R_C1_E,C1,S3,T3,3,R2,
R_C1_H,C1,S4,T5,2,R3,
R_C1_PE,C1,S8,T6,1,R6,
R_C1_A,C1,S10,T6,2,R3,
R_C2_M,C2,S1,T1,3,R1,
R_C2_B,C2,S7,T2,2,R4,
R_C2_CS,C2,S9,T4,2,R5,
R_C2_E,C2,S3,T3,3,R2,
R_C2_H,C2,S4,T5,2,R3,
R_C2_PE,C2,S8,T6,2,R6,
R_C2_A,C2,S10,T6,1,R3,
R_C3_M,C3,S1,T1,3,R1,
R_C3_P,C3,S5,T2,2,R4,
R_C3_CS,C3,S9,T4,2,R5,
R_C3_E,C3,S3,T3,3,R2,
R_C3_H,C3,S4,T5,2,R3,
R_C3_PE,C3,S8,T6,1,R6,
R_C3_A,C3,S10,T6,2,R3,
